LakeName,County,Species,RegulationType,DailyLimit,PossessionLimit,MinimumSize,MaximumSize,ProtectedSlot,IsCatchAndRelease,RegulationDetails
"GOOSE LAKE","Chisago","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"""
"GRAVE LAKE","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GREEN LAKE","Chisago","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"", only 1 over 20"" allowed in possession"
"GREEN LAKE","Kandiyohi","Walleye","PossessionLimit",,3,"","","",False,"Walleye: possession limit 3"
"GREEN PRAIRIE LAKE","Morrison","Sunfish","PossessionLimit",,10,"","","",False,"Sunfish: possession limit 10"
"GROVE LAKE","Pope","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"GULL LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"GULL LAKE CHAIN including connected Gull, Upper Gull, Margaret, Ray, Love, Nisswa, Roy, and Round lakes","Crow Wing, Cass","Northern Pike","Combined",,2,"","","30-40""",False,"Northern pike: all from 30-40"" must be immediately released, possession limit 2, only 1 over 40"""
"GULL LAKE CHAIN including connected Gull, Upper Gull, Margaret, Ray, Love, Nisswa, Roy, and Round lakes","Crow Wing, Cass","Walleye","General",,,"","","",False,"⁕NEW—GULL LAKE (Cook) Walleye: see Saganaga Lake"
"GUN LAKE","Aitkin","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"HEIGHT OF LAND LAKE","Becker","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"HENRY LAKE","Douglas","Smallmouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"HORSESHOE LAKE and connected Minnewawa Lake","Aitkin","Walleye","PossessionLimit",,3,"","","",False,"Walleye: possession limit 3"
"HORSESHOE LAKE and connected Minnewawa Lake","Aitkin","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"HORSESHOE LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"HOVDE LAKE","Cass","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"HUBERT LAKE","Crow Wing","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: all 12"" and larger must be immediately released"
"HUBERT LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"HUBERT LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"HUNGRY JACK LAKE","Cook","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"INDIAN LAKE","Wright","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"INGUADONA LAKE and connected Rice Lake","Cass","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"INGUADONA LAKE and connected Rice Lake","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"IRENE LAKE","Douglas","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"ISLAND LAKE","Becker","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"ISLAND LAKE near Ponto Lake","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ISLAND LAKE near Deer River","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ISLAND LAKE near Northome","Itasca","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"ISLAND LAKE near Northome","Itasca","Walleye","ProtectedSlot",,,"","","17-26""",False,"Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession"
"ISLAND LAKE RESERVOIR including Cloquet River from mouth of Island Reservoir upstream 0.5 miles to rapids and Otter River from mouth of Island Reservoir upstream to Boulder Reservoir dam","St. Louis","Walleye","ProtectedSlot",,,"","","15-20""",False,"Walleye: all from 15-20"" must be immediately released"
"ITASCA LAKE","Clearwater","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"ITASCA LAKE","Clearwater","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"JANE LAKE","Washington","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"JAY GOULD including Little Jay Gould and Blackwater Reservoir upstream to Highway 6","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"JULIA LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"KABEKONA LAKE","Hubbard","Walleye","ProtectedSlot",,,"","","20-26""",False,"Walleye: all from 20-26"" must be immediately released"
"KABETOGAMA LAKE including Sullivan Bay and Ash River to Ash River Falls","St. Louis","Walleye","ProtectedSlot",,,"","","18-26""",False,"Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession"
"KABETOGAMA LAKE including Sullivan Bay and Ash River to Ash River Falls","St. Louis","Walleye","PossessionLimit",,6,"","","",False,"Walleye and sauger: possession limit 6 combined, only 4 may be walleye"
"KNIFE LAKE","Kanabec","Walleye","ProtectedSlot",,,"","","18-24""",False,"Walleye: all from 18-24"" must be immediately released, only 1 over 24"" allowed in possession"
"KNIFE LAKE","Kanabec","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"" allowed in possession"
